JCC,Name1,Name2,Obsolete
3911,Konan,香南市,
3912,Kami,香美市,
4001,Fukuoka,福岡市,
4002,Kokura,小倉市,"Feb.9,1963"
4003,Moji,門司市,"Feb.9,1963"
4004,Yahata,八幡市,"Feb.9,1963"
4005,Tobata,戸畑市,"Feb.9,1963"
4006,Wakamatsu,若松市,"Feb.9,1963"
4007,Kurume,久留米市,
4008,Omuta,大牟田市,
4009,Noogata,直方市,
4010,Iizuka,飯塚市,
4011,Tagawa,田川市,
4012,Yanagawa,柳川市,
4013,Amagi,甘木市,"Mar.19,2006"
4014,Yamada,山田市,"Mar.26,2006"
4015,Yame,八女市,
4016,Chikugo,筑後市,
4017,Okawa,大川市,
4018,Yukuhashi,行橋市,
4019,Buzen,豊前市,
4020,Nakama,中間市,
4021,Kitakyushu,北九州市,
4022,Ogoori,小郡市,
4023,Kasuga,春日市,
4024,Chikushino,筑紫野市,
4025,Onojo,大野城市,
4026,Munakata,宗像市,
4027,Dazaifu,太宰府市,
4028,Maebaru,前原市,"Dec.31,2009"
4029,Koga,古賀市,
4030,Fukutsu,福津市,
4031,Ukiha,うきは市,
4032,Miyawaka,宮若市,
4033,Kama,嘉麻市,
4034,Asakura,朝倉市,
4035,Miyama,みやま市,
4036,Itoshima,糸島市,
4037,nakagawa,那珂川市,
4101,Saga,佐賀市,
4102,Karatsu,唐津市,
4103,Tosu,鳥栖市,
4104,Taku,多久市,
4105,Imari,伊万里市,
4106,Takeo,武雄市,
4107,Kashima,鹿島市,
4108,Ogi,小城市,
4109,Ureshino,嬉野市,
4110,Kanzaki,神埼市,
4201,Nagasaki,長崎市,
4202,Sasebo,佐世保市,
4203,Shimabara,島原市,
4204,Isahaya,諫早市,
4205,Omura,大村市,
4206,Fukue,福江市,"Jul.31,2004"
4207,Hirado,平戸市,
4208,Matsuura,松浦市,
4209,Tsushima,対馬市,
4210,Iki,壱岐市,
4211,Goto,五島市,
4212,Saikai,西海市,
4213,Unzen,雲仙市,
4214,Minamishimabara,南島原市,
4301,Kumamoto,熊本市,
4302,Yatsushiro,八代市,
4303,Hitoyoshi,人吉市,
4304,Arao,荒尾市,
4305,Minamata,水俣市,
4306,Tamana,玉名市,
4307,Hondo,本渡市,"Mar.26,2006"
4308,Yamaga,山鹿市,
4309,Ushibuka,牛深市,"Mar.26,2006"
4310,Kikuchi,菊池市,
4311,Uto,宇土市,
4312,Kamiamakusa,上天草市,
4313,Uki,宇城市,
4314,Aso,阿蘇市,
4315,Amakusa,天草市,
4316,Koshi,合志市,
4401,Oita,大分市,
4402,Beppu,別府市,
4403,Nakatsu,中津市,
4404,Hita,日田市,
4405,Saiki,佐伯市,
4406,Usuki,臼杵市,
4407,Tsukumi,津久見市,
4408,Taketa,竹田市,
4409,Tsurusaki,鶴崎市,"Mar.9,1963"
4410,Bungotakada,豊後高田市,
4411,Kitsuki,杵築市,
4412,Usa,宇佐市,
4413,Bungoono,豊後大野市,
4414,Yufu,由布市,
4415,Kunisaki,国東市,
4501,Miyazaki,宮崎市,
4502,Miyakonojo,都城市,
4503,Nobeoka,延岡市,
4504,Nichinan,日南市,
4505,Kobayashi,小林市,
4506,Hyuga,日向市,
4507,Kushima,串間市,
4508,Saito,西都市,
4509,Ebino,えびの市,
4601,Kagoshima,鹿児島市,
