"muniCd","Pref","City","JCCCd","WDCd","JCC_text","JCGCd","JCG_text","hamlogCd"
"4421","宮城県","大和町",,,,"06006","黒川郡","D"
"4422","宮城県","大郷町",,,,"06006","黒川郡","A"
"4424","宮城県","大衡村",,,,"06006","黒川郡","B"
"4444","宮城県","色麻町",,,,"06004","加美郡","B"
"4445","宮城県","加美町",,,,"06004","加美郡","E"
"4501","宮城県","涌谷町",,,,"06010","遠田郡","D"
"4505","宮城県","美里町",,,,"06010","遠田郡","E"
"4581","宮城県","女川町",,,,"06002","牡鹿郡","A"
"4606","宮城県","南三陸町",,,,"06014","本吉郡","F"
"5201","秋田県","秋田市","0401",,"秋田市",,,
"5202","秋田県","能代市","0402",,"能代市",,,
"5203","秋田県","横手市","0404",,"横手市",,,
"5204","秋田県","大館市","0403",,"大館市",,,
"5206","秋田県","男鹿市","0406",,"男鹿市",,,
"5207","秋田県","湯沢市","0407",,"湯沢市",,,
"5209","秋田県","鹿角市","0409",,"鹿角市",,,
"5210","秋田県","由利本荘市","0410",,"由利本荘市",,,
"5211","秋田県","潟上市","0411",,"潟上市",,,
"5212","秋田県","大仙市","0412",,"大仙市",,,
"5213","秋田県","北秋田市","0413",,"北秋田市",,,
"5214","秋田県","にかほ市","0414",,"にかほ市",,,
"5215","秋田県","仙北市","0415",,"仙北市",,,
"5303","秋田県","小坂町",,,,"04002","鹿角郡","A"
"5327","秋田県","上小阿仁村",,,,"04004","北秋田郡","A"
"5346","秋田県","藤里町",,,,"04008","山本郡","C"
"5348","秋田県","三種町",,,,"04008","山本郡","H"
"5349","秋田県","八峰町",,,,"04008","山本郡","I"
"5361","秋田県","五城目町",,,,"04007","南秋田郡","F"
"5363","秋田県","八郎潟町",,,,"04007","南秋田郡","D"
"5366","秋田県","井川町",,,,"04007","南秋田郡","B"
"5368","秋田県","大潟村",,,,"04007","南秋田郡","E"
"5434","秋田県","美郷町",,,,"04005","仙北郡","N"
"5463","秋田県","羽後町",,,,"04001","雄勝郡","C"
